cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"25.26,55.299",25.26,55.299,1,5.0,0.0,
"25.26,55.316",25.26,55.316,1,4.4,0.0,0.3564821428571428
"25.26,55.321",25.26,55.321,1,4.1,0.0,0.2913034538049127
"25.26,55.323",25.26,55.323,2,4.15,0.0,0.1918624557260921
"25.26,55.324",25.26,55.324,2,4.8,0.5,0.2829787781779379
"25.26,55.327",25.26,55.327,3,4.433333333333334,0.0,0.32172700359984846
"25.26,55.336",25.26,55.336,1,4.4,0.0,
"25.26,55.372",25.26,55.372,1,5.0,0.0,
"25.26,55.424",25.26,55.424,1,4.2,0.0,
"25.261,55.293",25.261,55.293,1,4.1,0.0,0.4526904761904761
"25.261,55.297",25.261,55.297,1,4.6,0.0,
"25.261,55.309",25.261,55.309,1,4.7,1.0,0.4091959207459207
"25.261,55.319",25.261,55.319,1,4.6,0.0,0.3892135642135642
"25.261,55.32",25.261,55.32,4,4.533333333333333,0.25,0.4854825396825397
"25.261,55.321",25.261,55.321,1,2.9,0.0,
"25.261,55.324",25.261,55.324,1,4.4,0.0,0.4252143939393938
"25.261,55.325",25.261,55.325,1,3.8,0.0,0.1463023182957393
"25.261,55.326",25.261,55.326,1,4.0,0.0,
"25.261,55.332",25.261,55.332,1,4.2,1.0,0.2702640692640692
"25.261,55.335",25.261,55.335,1,3.9,0.0,0.2859259863945578
"25.261,55.419",25.261,55.419,1,4.1,0.0,
"25.261,55.425",25.261,55.425,1,4.5,0.0,
"25.262,55.293",25.262,55.293,1,4.5,0.0,
"25.262,55.294",25.262,55.294,1,4.7,0.0,0.4184825937950938
"25.262,55.296",25.262,55.296,1,4.7,0.0,0.464186765615337
"25.262,55.297",25.262,55.297,2,4.5,1.0,0.37797996447996446
"25.262,55.314",25.262,55.314,2,4.25,0.0,0.4120992494824017
"25.262,55.315",25.262,55.315,1,4.6,0.0,
"25.262,55.327",25.262,55.327,1,4.3,0.0,
"25.262,55.424",25.262,55.424,1,4.3,0.0,
"25.262,55.425",25.262,55.425,2,3.8,0.0,0.4093333333333334
"25.262,55.429",25.262,55.429,1,4.0,0.0,
"25.262,55.441",25.262,55.441,1,4.5,0.0,
"25.263,55.289",25.263,55.289,1,4.0,0.0,
"25.263,55.29",25.263,55.29,1,4.9,0.0,
"25.263,55.293",25.263,55.293,1,4.6,0.0,
"25.263,55.297",25.263,55.297,1,4.2,0.0,0.3665858585858585
"25.263,55.298",25.263,55.298,1,4.5,0.0,0.4200848416289592
"25.263,55.299",25.263,55.299,1,4.8,1.0,0.3558627127607241
"25.263,55.3",25.263,55.3,3,4.533333333333333,0.6666666666666666,0.2749325061994495
"25.263,55.306",25.263,55.306,1,5.0,1.0,0.4392935786435787
"25.263,55.307",25.263,55.307,1,4.0,0.0,0.2141071428571428
"25.263,55.312",25.263,55.312,1,4.0,0.0,
"25.263,55.314",25.263,55.314,1,4.9,0.0,
"25.263,55.317",25.263,55.317,1,5.0,0.0,
"25.263,55.318",25.263,55.318,1,4.9,0.0,
"25.263,55.323",25.263,55.323,1,3.6,0.0,0.1085439051689051
"25.263,55.324",25.263,55.324,1,3.7,1.0,0.280772607022607
"25.263,55.325",25.263,55.325,3,3.7999999999999994,0.3333333333333333,0.24741323838198837
